hotel_name,rating
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Hilton San Diego Bayfront, 8.5 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
The Bristol Hotel San Diego, 8.7 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hilton San Diego Airport/Harbor Island, 8.2 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
Best Western Plus Bayside Inn, 8.7 
Homewood Suites by Hilton San Diego Downtown/Bayside, 8.5 
Hyatt Regency Mission Bay Spa and Marina, 8.0 
Hilton San Diego Airport/Harbor Island, 8.2 
Courtyard by Marriott San Diego Downtown, 8.5 
Homewood Suites by Hilton San Diego Hotel Circle/SeaWorld Area, 8.6 
Hyatt Regency La Jolla at Aventine, 8.5 
La Jolla Cove Suites, 7.4 
La Quinta by Wyndham San Diego SeaWorld/Zoo Area, 7.4 
Solamar San Diego, 8.4 
Baymont by Wyndham San Diego Downtown, 7.7 
Andaz San Diego - a Concept by Hyatt, 8.9 
InterContinental San Diego, 8.9 
San Diego Marriott Gaslamp Quarter, 8.3 
"Hotel del Coronado, Curio Collection by Hilton", 7.2 
Manchester Grand Hyatt San Diego, 8.7 
Hotel Indigo San Diego - Gaslamp Quarter, 8.6 
Paradise Point Resort & Spa, 8.2 
Omni San Diego Hotel, 8.9 
Hilton Garden Inn San Diego Mission Valley/Stadium, 8.0 
Hilton San Diego Bayfront, 8.5 
Best Western Yacht Harbor Hotel, 8.1 
Blue Sea Beach Hotel, 8.5 
Hard Rock Hotel San Diego, 8.4 
Loews Coronado Bay Resort, 8.6 
